id,kuntanro,kuntanimi,asuntolkm,talotyyppi,rahmuoto,rahmuoto2,valmvuosi
1,049,Espoo,38,AK,VR,VO,2020
2,049,Espoo,21,AP,VR,VO,2020
3,049,Espoo,47,AK,VR,VO,2020
4,049,Espoo,54,AK,VR,VO,2020
5,049,Espoo,86,AK,VR,VO,2020
6,049,Espoo,121,AK,ARA,PK,2020
7,049,Espoo,117,AK,ARA,PK,2020
8,049,Espoo,126,AK,ARA,PK,2020
9,049,Espoo,78,AK,VR,VV,2020
10,049,Espoo,88,AK,VR,VV,2020
11,049,Espoo,74,AK,VR,VV,2020
12,049,Espoo,104,AK,VR,VV,2020
13,049,Espoo,71,AK,VR,VV,2020
14,049,Espoo,41,AK,ARA,LK,2020
15,049,Espoo,42,AK,VR,VO,2020
16,049,Espoo,74,AK,VR,VO,2020
17,049,Espoo,57,AK,VR,VO,2020
18,049,Espoo,57,AK,VR,VO,2020
19,049,Espoo,81,AK,VR,VO,2020
20,049,Espoo,42,AK,ARA,PK,2020
21,049,Espoo,80,AK,VR,VO,2020
22,049,Espoo,61,AK,ARA,PK,2020
23,049,Espoo,119,AK,VR,VO,2020
24,049,Espoo,30,AK,VR,VO,2020
25,049,Espoo,51,AK,VR,VO,2020
26,049,Espoo,66,AK,VR,VO,2020
27,049,Espoo,52,AK,ARA,PK,2020
28,049,Espoo,80,AK,VR,VV,2020
29,049,Espoo,84,AK,VR,VO,2020
30,049,Espoo,57,AK,VR,VO,2020
31,049,Espoo,58,AK,VR,VV,2020
32,049,Espoo,41,AK,VR,VO,2020
33,049,Espoo,42,AK,VR,VV,2020
34,049,Espoo,35,AK,VR,VV,2020
35,049,Espoo,20,AK,VR,VO,2020
36,049,Espoo,20,AK,VR,VO,2020
37,049,Espoo,20,AK,VR,VO,2020
38,049,Espoo,92,AK,VR,VO,2020
39,049,Espoo,75,AK,VR,VV,2020
40,049,Espoo,75,AK,VR,VV,2020
41,049,Espoo,49,AK,VR,VO,2020
42,049,Espoo,47,AK,ARA,LK,2020
43,049,Espoo,70,AK,ARA,PK,2020
44,049,Espoo,52,AK,VR,VV,2020
45,049,Espoo,53,AK,VR,VV,2020
46,049,Espoo,68,AK,VR,VO,2020
47,049,Espoo,25,AP,VR,VO,2020
48,049,Espoo,36,AK,ARA,LK,2020
49,049,Espoo,24,AP,VR,VV,2020
50,049,Espoo,34,AP,VR,VV,2020
51,049,Espoo,12,AP,VR,VO,2020
52,049,Espoo,14,AP,VR,VO,2020
53,049,Espoo,18,AP,VR,VO,2020
54,049,Espoo,20,AP,VR,VO,2020
55,049,Espoo,31,AP,VR,VO,2020
56,049,Espoo,20,AP,ASO,ASO,2020
57,049,Espoo,61,AK,ASO,ASO,2020
58,049,Espoo,45,AP,VR,VO,2020
59,049,Espoo,73,AK,VR,VO,2020
60,049,Espoo,47,AK,VR,VV,2020
61,049,Espoo,60,AK,VR,VV,2020
62,049,Espoo,16,AP,VR,VO,2020
63,049,Espoo,11,AP,VR,VO,2020
64,049,Espoo,15,AP,VR,VV,2020
65,049,Espoo,36,AP,VR,VO,2020
66,049,Espoo,1,AP,VR,VO,2020
67,049,Espoo,1,AP,VR,VO,2020
68,049,Espoo,1,AP,VR,VO,2020
69,049,Espoo,1,AP,VR,VO,2020
70,049,Espoo,1,AP,VR,VO,2020
71,049,Espoo,2,AP,VR,VO,2020
72,049,Espoo,1,AP,VR,VO,2020
73,049,Espoo,1,AP,VR,VO,2020
74,049,Espoo,1,AP,VR,VO,2020
75,049,Espoo,1,AP,VR,VO,2020
76,049,Espoo,1,AP,VR,VO,2020
77,049,Espoo,1,AP,VR,VO,2020
78,049,Espoo,1,AP,VR,VO,2020
79,049,Espoo,1,AP,VR,VO,2020
80,049,Espoo,1,AP,VR,VO,2020
81,049,Espoo,1,AP,VR,VO,2020
82,049,Espoo,1,AP,VR,VO,2020
83,049,Espoo,1,AP,VR,VO,2020
84,049,Espoo,1,AP,VR,VO,2020
85,049,Espoo,1,AP,VR,VO,2020
86,049,Espoo,1,AP,VR,VO,2020
87,049,Espoo,1,AP,VR,VO,2020
88,049,Espoo,1,AP,VR,VO,2020
89,049,Espoo,1,AP,VR,VO,2020
90,049,Espoo,2,AP,VR,VO,2020
91,049,Espoo,1,AP,VR,VO,2020
92,049,Espoo,1,AP,VR,VO,2020
93,049,Espoo,1,AP,VR,VO,2020
94,049,Espoo,1,AP,VR,VO,2020
95,049,Espoo,1,AP,VR,VO,2020
96,049,Espoo,1,AP,VR,VO,2020
97,049,Espoo,2,AP,VR,VO,2020
98,049,Espoo,2,AP,VR,VO,2020
99,049,Espoo,2,AP,VR,VO,2020
100,049,Espoo,1,AP,VR,VO,2020
101,049,Espoo,1,AP,VR,VO,2020
102,049,Espoo,1,AP,VR,VO,2020
103,049,Espoo,1,AP,VR,VO,2020
104,049,Espoo,1,AP,VR,VO,2020
105,049,Espoo,1,AP,VR,VO,2020
106,049,Espoo,1,AP,VR,VO,2020
107,049,Espoo,1,AP,VR,VO,2020
108,049,Espoo,2,AP,VR,VO,2020
109,049,Espoo,1,AP,VR,VO,2020
110,049,Espoo,1,AP,VR,VO,2020
111,049,Espoo,1,AP,VR,VO,2020
112,049,Espoo,1,AP,VR,VO,2020
113,049,Espoo,1,AP,VR,VO,2020
114,049,Espoo,1,AP,VR,VO,2020
115,049,Espoo,1,AP,VR,VO,2020
116,049,Espoo,2,AP,VR,VO,2020
117,049,Espoo,1,AP,VR,VO,2020
118,049,Espoo,1,AP,VR,VO,2020
119,049,Espoo,1,AP,VR,VO,2020
120,049,Espoo,1,AP,VR,VO,2020
121,049,Espoo,1,AP,VR,VO,2020
122,049,Espoo,1,AP,VR,VO,2020
123,049,Espoo,1,AP,VR,VO,2020
124,049,Espoo,1,AP,VR,VO,2020
125,049,Espoo,1,AP,VR,VO,2020
126,049,Espoo,1,AP,VR,VO,2020
127,049,Espoo,1,AP,VR,VO,2020
128,049,Espoo,1,AP,VR,VO,2020
129,049,Espoo,1,AP,VR,VO,2020
130,049,Espoo,2,AP,VR,VO,2020
131,049,Espoo,2,AP,VR,VO,2020
132,049,Espoo,2,AP,VR,VO,2020
133,049,Espoo,1,AP,VR,VO,2020
134,049,Espoo,1,AP,VR,VO,2020
135,049,Espoo,1,AP,VR,VO,2020
136,049,Espoo,1,AP,VR,VO,2020
137,049,Espoo,1,AP,VR,VO,2020
138,049,Espoo,1,AP,VR,VO,2020
139,049,Espoo,2,AP,VR,VO,2020
140,049,Espoo,2,AP,VR,VO,2020
141,049,Espoo,2,AP,VR,VO,2020
142,049,Espoo,2,AP,VR,VO,2020
143,049,Espoo,2,AP,VR,VO,2020
144,049,Espoo,1,AP,VR,VO,2020
145,049,Espoo,2,AP,VR,VO,2020
146,049,Espoo,1,AP,VR,VO,2020
147,049,Espoo,1,AP,VR,VO,2020
148,049,Espoo,1,AP,VR,VO,2020
149,049,Espoo,1,AP,VR,VO,2020
150,049,Espoo,1,AP,VR,VO,2020
151,049,Espoo,1,AP,VR,VO,2020
152,049,Espoo,1,AP,VR,VO,2020
153,049,Espoo,1,AP,VR,VO,2020
154,049,Espoo,1,AP,VR,VO,2020
155,049,Espoo,1,AP,VR,VO,2020
156,049,Espoo,1,AP,VR,VO,2020
157,049,Espoo,1,AP,VR,VO,2020
158,049,Espoo,1,AP,VR,VO,2020
159,049,Espoo,1,AP,VR,VO,2020
160,049,Espoo,1,AP,VR,VO,2020
161,049,Espoo,1,AP,VR,VO,2020
162,049,Espoo,1,AP,VR,VO,2020
163,049,Espoo,1,AP,VR,VO,2020
164,049,Espoo,2,AP,VR,VO,2020
165,049,Espoo,1,AP,VR,VO,2020
166,049,Espoo,2,AP,VR,VO,2020
167,049,Espoo,2,AP,VR,VO,2020
168,049,Espoo,2,AP,VR,VO,2020
169,049,Espoo,2,AP,VR,VO,2020
170,049,Espoo,1,AP,VR,VO,2020
171,049,Espoo,1,AP,VR,VO,2020
172,049,Espoo,1,AP,VR,VO,2020
173,049,Espoo,2,AP,VR,VO,2020
174,049,Espoo,2,AP,VR,VO,2020
175,049,Espoo,2,AP,VR,VO,2020
176,049,Espoo,2,AP,VR,VO,2020
177,049,Espoo,2,AP,VR,VO,2020
178,049,Espoo,2,AP,VR,VO,2020
179,049,Espoo,2,AP,VR,VO,2020
180,049,Espoo,1,AP,VR,VO,2020
181,049,Espoo,2,AP,VR,VO,2020
182,049,Espoo,1,AP,VR,VO,2020
183,049,Espoo,1,AP,VR,VO,2020
184,049,Espoo,1,AP,VR,VO,2020
185,049,Espoo,1,AP,VR,VO,2020
186,049,Espoo,1,AP,VR,VO,2020
187,049,Espoo,1,AP,VR,VO,2020
188,049,Espoo,2,AP,VR,VO,2020
189,049,Espoo,2,AP,VR,VO,2020
190,049,Espoo,3,AP,VR,VO,2020
191,049,Espoo,1,AP,VR,VO,2020
192,049,Espoo,1,AP,VR,VO,2020
193,049,Espoo,1,AP,VR,VO,2020
194,049,Espoo,4,AP,VR,VO,2020
195,049,Espoo,1,AP,VR,VO,2020
196,049,Espoo,1,AP,VR,VO,2020
197,049,Espoo,1,AP,VR,VO,2020
198,049,Espoo,1,AP,VR,VO,2020
199,049,Espoo,1,AP,VR,VO,2020
200,049,Espoo,1,AP,VR,VO,2020
201,049,Espoo,1,AP,VR,VO,2020
202,049,Espoo,1,AP,VR,VO,2020
203,049,Espoo,2,AP,VR,VO,2020
204,049,Espoo,1,AP,VR,VO,2020
205,049,Espoo,1,AP,VR,VO,2020
206,049,Espoo,1,AP,VR,VO,2020
207,049,Espoo,1,AP,VR,VO,2020
